variant_id,base_pair_key,record_key,language,language_label,qa_track,corruption_type,severity,declared_size,source_lid,variant_lid,source_triples,clean_target_triples,variant_target_triples,source_text,clean_target_text,variant_target_text,xml_duplicate_target_lex,xml_path,split,triple_bucket,category,eid,is_benign,consistency_group_id,perturbation_pair_id,removed_token_fraction,alternative_reference_lid,alternative_source_text,predicted_language,language_confidence,target_language_probability,valid_target_language,wrong_language_detected,full_english_copy_detected,code_switch_eligible_window_count,code_switch_english_window_count,code_switch_english_window_fraction,code_switch_detected,hard_language_flag,comparison_source_lid,comparison_source_text,english_token_count,target_token_count,expansion_ratio,aligned_reference_eligible,aligned_reference_similarity,comparison_reference_similarity,aligned_reference_advantage,manual_target_language_acceptable,manual_actual_code_switch,manual_grammar_naturalness_1_5,manual_legitimate_variation,manual_aligned_reference_interpretation,manual_notes
original__ca__e94165ee24f6,train/2triples/WrittenWork.xml::Id130::Id1,train/2triples/WrittenWork.xml::Id130,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Acta_Mathematica_Hungarica | abbreviation | ""Acta Math. Hungar.""', 'Acta_Mathematica_Hungarica | academicDiscipline | Mathematics']","['Acta_Mathematica_Hungarica | Abreviació | Acta_Math._Hungar.', 'Acta_Mathematica_Hungarica | DisciplinaAcadèmica | matemàtiques']","['Acta_Mathematica_Hungarica | Abreviació | Acta_Math._Hungar.', 'Acta_Mathematica_Hungarica | DisciplinaAcadèmica | matemàtiques']","Acta Mathematica Hungarica has the abbreviation of ""Acta Math. Hungar."" and comes under the discipline of Math.","Acta Mathematica Hungarica té l'abreviatura de ""Acta Math. Hungar."" i ve sota la disciplina de Matemàtiques.","Acta Mathematica Hungarica té l'abreviatura de ""Acta Math. Hungar."" i ve sota la disciplina de Matemàtiques.",False,train/2triples/WrittenWork.xml,train,2triples,WrittenWork,Id130,False,,,,,,ca,0.6972115635871887,0.6972115635871887,False,False,False,2,0,0.0,False,False,Id2,The abbreviation of Acta Mathematica Hungarica is Acta Math. Hungar and covers the academic discipline of Mathematics.,17,16,0.9411764705882353,True,0.9269068241119385,0.825088381767273,0.10181844234466553,,,,,,
original__ca__7312edc71dc8,train/2triples/ComicsCharacter.xml::Id12::Id1,train/2triples/ComicsCharacter.xml::Id12,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Asterix_(comicsCharacter) | creator | René_Goscinny', 'René_Goscinny | nationality | French_people']","['Asterix_(personatge_de_còmics) | Creador | René_Goscinny', 'René_Goscinny | Nacionalitat | Persones_franceses']","['Asterix_(personatge_de_còmics) | Creador | René_Goscinny', 'René_Goscinny | Nacionalitat | Persones_franceses']","The creator of Asterix, a comics character, is René Goscinny, who is French.","El creador d'Astèrix, un personatge de còmics, és René Goscinny, que és francès.","El creador d'Astèrix, un personatge de còmics, és René Goscinny, que és francès.",False,train/2triples/ComicsCharacter.xml,train,2triples,ComicsCharacter,Id12,False,,,,,,ca,0.857448399066925,0.857448399066925,True,False,False,1,0,0.0,False,False,Id2,"Asterix was created by Rene Goscinny, who is a frenchman.",13,13,1.0,True,0.9659708738327026,0.8821278810501099,0.08384299278259277,,,,,,
original__ca__9fae396347d9,train/2triples/Airport.xml::Id49::Id1,train/2triples/Airport.xml::Id49,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Agra_Airport | location | Uttar_Pradesh', 'Uttar_Pradesh | isPartOf | Bundelkhand']","[""Aeroport_d'_Agra | Ubicació | Uttar_Pradesh"", 'Uttar_Pradesh | ÉsPartDe | Bundelkhand']","[""Aeroport_d'_Agra | Ubicació | Uttar_Pradesh"", 'Uttar_Pradesh | ÉsPartDe | Bundelkhand']",Agra Airport is in Uttar Pradesh which is part of Bundelkhand.,"L'aeroport d'Agra es troba a Uttar Pradesh, que forma part de Bundelkhand.","L'aeroport d'Agra es troba a Uttar Pradesh, que forma part de Bundelkhand.",False,train/2triples/Airport.xml,train,2triples,Airport,Id49,False,,,,,,ca,0.9135516881942749,0.9135516881942749,True,False,False,1,0,0.0,False,False,Id2,Agra Airport is located in Uttar Pradesh which is part of Bundelkhand.,11,12,1.0909090909090908,True,0.9081643223762512,0.898544192314148,0.009620130062103271,,,,,,
original__ca__17d7d6049375,train/3triples/Athlete.xml::Id164::Id1,train/3triples/Athlete.xml::Id164,ca,Catalan,CLEAN,clean,clean,3,Id1,Id1,"['Alessio_Romagnoli | club | Italy_national_under-17_football_team', 'Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto', 'Alessio_Romagnoli | club | Italy_national_under-19_football_team']","['Alessio_Romagnoli | Trèvols | Itàlia_sub-17', 'Itàlia_sub-17 | Entrenador | Alessandro_Dal_Canto', 'Alessio_Romagnoli | Trèvols | Itàlia_sub-19']","['Alessio_Romagnoli | Trèvols | Itàlia_sub-17', 'Itàlia_sub-17 | Entrenador | Alessandro_Dal_Canto', 'Alessio_Romagnoli | Trèvols | Itàlia_sub-19']","Alessio Romagnoli plays for the Italy national under-17 football team, which is coached by, Alessandro Dal Canto. Alessio Romagnoli's club is the Italy national under 19 football team.","Alessio Romagnoli juga amb l'equip nacional italià de futbol sub-17, entrenat per Alessandro Dal Canto. El club d'Alessio Romagnoli és l'equip nacional italià de futbol sub-19.","Alessio Romagnoli juga amb l'equip nacional italià de futbol sub-17, entrenat per Alessandro Dal Canto. El club d'Alessio Romagnoli és l'equip nacional italià de futbol sub-19.",False,train/3triples/Athlete.xml,train,3triples,Athlete,Id164,False,,,,,,ca,0.8462604880332947,0.8462604880332947,True,False,False,3,0,0.0,False,False,Id2,"Alessio Romagnoli is in the club Italy national under 17's coached by Alessandro Dal Canto, and has also played for the Italian national under-19 football team.",28,26,0.9285714285714286,True,0.9646536111831665,0.9362016916275024,0.028451919555664062,,,,,,
original__ca__f1adf66d6e46,train/3triples/Food.xml::Id301::Id1,train/3triples/Food.xml::Id301,ca,Catalan,CLEAN,clean,clean,3,Id1,Id1,"['Singapore | leader | Tony_Tan', 'Beef_kway_teow | country | Singapore', 'Singapore | leader | Halimah_Yacob']","['Singapur | Líder | Tony_Tan', 'Vedella_kway_teow | País | Singapur', 'Singapur | Líder | Halimah_Yacob']","['Singapur | Líder | Tony_Tan', 'Vedella_kway_teow | País | Singapur', 'Singapur | Líder | Halimah_Yacob']","Beef kway teow is a popular dish in Singapore, where Tony Tan and Halimah Yacob are leaders.","El kway teow de vedella és un plat popular a Singapur, on Tony Tan i Halimah Yacob són els líders.","El kway teow de vedella és un plat popular a Singapur, on Tony Tan i Halimah Yacob són els líders.",False,train/3triples/Food.xml,train,3triples,Food,Id301,False,,,,,,ca,0.8675139546394348,0.8675139546394348,True,False,False,2,0,0.0,False,False,Id2,Tony Tan and Halimah Yacob are leaders in Singapore where beef kway teow is a popular dish.,17,20,1.1764705882352942,True,0.88124018907547,0.8916902542114258,-0.01045006513595581,,,,,,
original__ca__055ad1da4472,train/5triples/Food.xml::Id14::Id3,train/5triples/Food.xml::Id14,ca,Catalan,CLEAN,clean,clean,5,Id3,Id3,"['Arem-arem | country | Indonesia', 'Arem-arem | region | ""Nationwide in Indonesia, but more specific to Java""', 'Indonesia | leader | Joko_Widodo', 'Indonesia | currency | Indonesian_rupiah', 'Indonesia | language | Indonesian_language']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Moneda | Rupia_indonesiana', 'Indonèsia | Llengua | Llengua_indonesiana']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Moneda | Rupia_indonesiana', 'Indonèsia | Llengua | Llengua_indonesiana']","Arem-arem, is predominant in Indonesia's Java. Indonesia is led by Joko Widodo, hails the currency rupiah and the Indonesian language is spoken.","Arem-arem, és predominant a Java, Indonèsia. Indonèsia està dirigida per Joko Widodo, té com a moneda la rupia i es parla l'idioma indonesi.","Arem-arem, és predominant a Java, Indonèsia. Indonèsia està dirigida per Joko Widodo, té com a moneda la rupia i es parla l'idioma indonesi.",False,train/5triples/Food.xml,train,5triples,Food,Id14,False,,,,,,ca,0.8801245093345642,0.8801245093345642,True,False,False,3,0,0.0,False,False,Id1,"The dish Arem arem originates from Indonesia, more specifically Java. Indonesia's leader's name is Joko Widodo. and the currency is the rupiah. The language is Indonesian.",22,23,1.0454545454545454,True,0.971351146697998,0.8578193187713623,0.11353182792663574,,,,,,
original__ca__979f8594a592,train/2triples/City.xml::Id150::Id3,train/2triples/City.xml::Id150,ca,Catalan,CLEAN,clean,clean,2,Id3,Id3,"['Texas | capital | Austin,_Texas', 'Arlington,_Texas | isPartOf | Texas']","['Texas | Capital | Austin,_Texas', 'Arlington,_Texas | ÉsPartDe | Texas']","['Texas | Capital | Austin,_Texas', 'Arlington,_Texas | ÉsPartDe | Texas']",Austin is the capital city of Texas and Arlington is part of the state too.,Austin és la capital de Texas i Arlington també forma part de l'estat.,Austin és la capital de Texas i Arlington també forma part de l'estat.,False,train/2triples/City.xml,train,2triples,City,Id150,False,,,,,,ca,0.9181197285652161,0.9181197285652161,True,False,False,1,0,0.0,False,False,Id1,"Arlington is part of Texas, the capital of which is Austin.",15,13,0.8666666666666667,True,0.9922627806663513,0.9759199023246765,0.016342878341674805,,,,,,
original__ca__0bd0d6ea0771,train/2triples/SportsTeam.xml::Id65::Id3,train/2triples/SportsTeam.xml::Id65,ca,Catalan,CLEAN,clean,clean,2,Id3,Id3,"['A.F.C._Blackpool | manager | Stuart_Parker_(footballer)', 'Stuart_Parker_(footballer) | club | Chesterfield_F.C.']","['A.F.C._Blackpool | Gerent | Stuart_Parker_(futbolista)', 'Stuart_Parker_(futbolista) | Trèvols | Chesterfield_FC']","['A.F.C._Blackpool | Gerent | Stuart_Parker_(futbolista)', 'Stuart_Parker_(futbolista) | Trèvols | Chesterfield_FC']","The manager of A.F.C. Blackpool is Stuart Parker, who is a member of the Chesterfield F.C.","El director de l'A.F.C. Blackpool és Stuart Parker, que és membre del Chesterfield F.C.","El director de l'A.F.C. Blackpool és Stuart Parker, que és membre del Chesterfield F.C.",False,train/2triples/SportsTeam.xml,train,2triples,SportsTeam,Id65,False,,,,,,ca,0.8230594992637634,0.8230594992637634,True,False,False,2,0,0.0,False,False,Id1,The footballer Stuart Parker is attached to Chesterfield football club and has been manager at AFC Blackpool.,16,14,0.875,True,0.9748637676239014,0.7606561779975891,0.21420758962631226,,,,,,
original__ca__71b304e88c20,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id417::Id1,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id417,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Expect_a_Miracle | genre | Instrumental_music', 'Expect_a_Miracle | genre | Easy_listening']","['Espera_un_miracle | Gènere | música_instrumental', 'Espera_un_miracle | Gènere | música_lleugera']","['Espera_un_miracle | Gènere | música_instrumental', 'Espera_un_miracle | Gènere | música_lleugera']",The album Expect a miracle is of the easy instrumental Listening music genre.,L'àlbum Expect a miracle és del gènere de música Listening instrumental fàcil.,L'àlbum Expect a miracle és del gènere de música Listening instrumental fàcil.,False,test/rdf-to-text-generation-test-data-with-refs-en.xml,test,rdf-to-text-generation-test-data-with-refs-en.xml,MusicalWork,Id417,False,,,,,,ca,0.7841962575912476,0.7841962575912476,True,False,False,1,0,0.0,False,False,Id2,The album Expect a Miracle fits into the genres of instrumental as well as easy listening music.,13,12,0.9230769230769231,True,0.9738035202026367,0.9386389851570129,0.03516453504562378,,,,,,
original__ca__575b8b301b3a,train/4triples/WrittenWork.xml::Id6::Id3,train/4triples/WrittenWork.xml::Id6,ca,Catalan,CLEAN,clean,clean,4,Id3,Id3,"['1634:_The_Bavarian_Crisis | author | Eric_Flint', '1634:_The_Bavarian_Crisis | precededBy | 1634:_The_Baltic_War', 'Eric_Flint | birthPlace | Burbank,_California', '1634:_The_Bavarian_Crisis | precededBy | ""DeMarce short stories in the The Grantville Gazettes""']","['1634:_La_crisi_de_Baviera | Autor | Eric_Flint', '1634:_La_crisi_de_Baviera | PreceditPer | 1634:_La_guerra_del_Bàltic', 'Eric_Flint | LlocDeNaixement | Burbank,_Califòrnia', '1634:_La_crisi_de_Baviera | PreceditPer | Històries_curtes_de_DeMarce_a_The_Grantville_Gazettes']","['1634:_La_crisi_de_Baviera | Autor | Eric_Flint', '1634:_La_crisi_de_Baviera | PreceditPer | 1634:_La_guerra_del_Bàltic', 'Eric_Flint | LlocDeNaixement | Burbank,_Califòrnia', '1634:_La_crisi_de_Baviera | PreceditPer | Històries_curtes_de_DeMarce_a_The_Grantville_Gazettes']","Eric Flint was born in Burbank, California and is the author of 1634: The Bavarian Crisis which was preceded by 1634: The Baltic War and the DeMarce short stories in the Grantville Gazettes.","Eric Flint va néixer a Burbank, Califòrnia i és l'autor de 1634: The Bavarian Crisis que va ser precedit per 1634: The Baltic War i les històries curtes de DeMarce a les Grantville Gazettes.","Eric Flint va néixer a Burbank, Califòrnia i és l'autor de 1634: The Bavarian Crisis que va ser precedit per 1634: The Baltic War i les històries curtes de DeMarce a les Grantville Gazettes.",False,train/4triples/WrittenWork.xml,train,4triples,WrittenWork,Id6,False,,,,,,ca,0.9146405458450317,0.9146405458450317,True,False,False,4,0,0.0,False,False,Id1,"1634: The Bavarian Crisis, written by Eric Flint born in Burbank California, was preceded by 1634: The Baltic War and DeMarce short stories in the Grantville Gazettes.",33,34,1.0303030303030303,True,0.9914448857307434,0.9011428356170654,0.09030205011367798,,,,,,
original__ca__e974c74ba388,train/1triples/WrittenWork_allSolutions.xml::Id30::Id2,train/1triples/WrittenWork_allSolutions.xml::Id30,ca,Catalan,CLEAN,clean,clean,1,Id2,Id2,['A.T._Charlie_Johnson | residence | United_States'],"[""A.T._Charlie_Johnson | Residència | Estats_Units_d'Amèrica""]","[""A.T._Charlie_Johnson | Residència | Estats_Units_d'Amèrica""]",The United States is the residence of A T Charlie Johnson.,Els Estats Units són la residència d'A T Charlie Johnson.,Els Estats Units són la residència d'A T Charlie Johnson.,False,train/1triples/WrittenWork_allSolutions.xml,train,1triples,WrittenWork,Id30,False,,,,,,ca,0.9046879410743713,0.9046879410743713,True,False,False,1,0,0.0,False,False,Id1,A.T. Charlie Johnson resides in the United States.,11,10,0.9090909090909091,True,0.9731008410453796,0.9255058169364929,0.04759502410888672,,,,,,
