case_id,subqa,language_label,automatic_risk,manual_risk,automatic_basis,manual_notes,record_or_component
QA22-ES-707f5334a615,QA2.2,Spanish,High,Medium,target literal retention is below 1.,Wording,train/3triples/SportsTeam.xml::Id10::Id2
QA21-CA-1880373b0151,QA2.1,Catalan,High,Low,a semantic score is in the lowest 1%; at least two semantic scores are in the lowest 5%.,,train/1triples/Food_allSolutions.xml::Id25::Id2
QA21-CA-14870e9d8c70,QA2.1,Catalan,Medium,Low,at least one semantic score is in the lowest 10%.,,train/2triples/Food.xml::Id62::Id2
QA32-CA-26637768e9d6,QA3.2,Catalan,High,Low,"The aligned-reference advantage is in the extreme lower tail, or a non-positive advantage coincides with extreme length variation.",,dev/1triples/MeanOfTransportation_allSolutions.xml::Id21::Id2
QA31-CA-d5c7e68dbb17,QA3.1,Catalan,High,Low,At least one hard language diagnostic is active.,,train/1triples/WrittenWork_allSolutions.xml::Id187::Id1
QA32-CA-f9027daa4751,QA3.2,Catalan,Medium,Low,"The aligned-reference advantage is non-positive/unavailable, or the expansion ratio is outside the central 90% range.",,train/1triples/Building_allSolutions.xml::Id163::Id2
QA21-ES-47231211c8ac,QA2.1,Spanish,Medium,Low,at least one semantic score is in the lowest 10%.,,dev/1triples/City_allSolutions.xml::Id9::Id2
QA31-CA-34aa9c807c11,QA3.1,Catalan,High,Low,At least one hard language diagnostic is active.,,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id169::Id2
QA31-ES-c662d1890bbf,QA3.1,Spanish,High,Low,At least one hard language diagnostic is active.,,dev/4triples/Artist.xml::Id22::Id3
QA32-CA-0479eb54992e,QA3.2,Catalan,Medium,Low,"The aligned-reference advantage is non-positive/unavailable, or the expansion ratio is outside the central 90% range.",,train/1triples/Building_allSolutions.xml::Id117::Id1
QA22-CA-fe32c5fbd02a,QA2.2,Catalan,High,Low,both English-calibrated support directions fail.,,train/1triples/Athlete_allSolutions.xml::Id13::Id1
QA32-CA-7e13d56fda5a,QA3.2,Catalan,High,Low,"The aligned-reference advantage is in the extreme lower tail, or a non-positive advantage coincides with extreme length variation.",,train/4triples/University.xml::Id62::Id1
QA32-ES-8c94a4837a54,QA3.2,Spanish,High,Low,"The aligned-reference advantage is in the extreme lower tail, or a non-positive advantage coincides with extreme length variation.",,train/1triples/Company_allSolutions.xml::Id41::Id1
QA21-ES-0398e86d7052,QA2.1,Spanish,High,Medium,a semantic score is in the lowest 1%.,Wrong structure,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id1761::Id2
QA32-ES-9b3834a8f7f4,QA3.2,Spanish,Medium,Low,"The aligned-reference advantage is non-positive/unavailable, or the expansion ratio is outside the central 90% range.",,train/3triples/MeanOfTransportation.xml::Id90::Id3
QA31-CA-82e0813bf006,QA3.1,Catalan,High,Low,At least one hard language diagnostic is active.,,train/3triples/WrittenWork.xml::Id196::Id1
QA31-ES-905c79c5b85c,QA3.1,Spanish,Medium,Low,"The expected language does not reach the confidence-based valid-language decision, but no hard flag is active.",,train/1triples/Artist_allSolutions.xml::Id216::Id2
QA31-CA-2d68c024163f,QA3.1,Catalan,Medium,Low,"The expected language does not reach the confidence-based valid-language decision, but no hard flag is active.",,train/2triples/WrittenWork.xml::Id68::Id1
