language,language_label,component_type,source_normalized,source_example,minimum_occurrences,occurrences,target_form_count,dominant_target_form,dominant_target_count,dominant_mapping_rate,mapping_review_signal,target_forms
ca,Catalan,entity_or_value,1,1,2,9,1,1,9,1.0,False,"{""1"": 9}"
ca,Catalan,entity_or_value,1 decembrie 1918 university,1_Decembrie_1918_University,2,102,1,1 de desembre de 1918 universitat,102,1.0,False,"{""1 de desembre de 1918 universitat"": 102}"
ca,Catalan,entity_or_value,1-4-2 nakadori,"""1-4-2 Nakadori""",2,3,1,1-4-2 nakadori,3,1.0,False,"{""1-4-2 nakadori"": 3}"
ca,Catalan,entity_or_value,1-4165-2060-0,"""1-4165-2060-0""",2,16,1,1-4165-2060-0,16,1.0,False,"{""1-4165-2060-0"": 16}"
ca,Catalan,entity_or_value,1-56947-301-3,"""1-56947-301-3""",2,7,1,1-56947-301-3,7,1.0,False,"{""1-56947-301-3"": 7}"
ca,Catalan,entity_or_value,1. fc köln,1._FC_Köln,2,34,1,1. fc köln,34,1.0,False,"{""1. fc köln"": 34}"
ca,Catalan,entity_or_value,1. fc lokomotive leipzig,1._FC_Lokomotive_Leipzig,2,11,1,1. fussball-club lokomotive leipzig,11,1.0,False,"{""1. fussball-club lokomotive leipzig"": 11}"
ca,Catalan,entity_or_value,1. fc magdeburg,1._FC_Magdeburg,2,40,1,1. fussball-club magdeburg,40,1.0,False,"{""1. fussball-club magdeburg"": 40}"
ca,Catalan,entity_or_value,1. fc union berlin,1._FC_Union_Berlin,2,8,1,1. fc union berlin,8,1.0,False,"{""1. fc union berlin"": 8}"
ca,Catalan,entity_or_value,1.0 (square kilometres),1.0 (square kilometres),2,2,1,1.0 (quilòmetres quadrats),2,1.0,False,"{""1.0 (quilòmetres quadrats)"": 2}"
ca,Catalan,entity_or_value,1.1 (kilograms),1.1 (kilograms),2,5,1,1.1 (kilograms),5,1.0,False,"{""1.1 (kilograms)"": 5}"
ca,Catalan,entity_or_value,1.2 (litres),1.2 (litres),2,14,1,1.2 (litres),14,1.0,False,"{""1.2 (litres)"": 14}"
ca,Catalan,entity_or_value,1.3,1.3,2,2,1,1.3,2,1.0,False,"{""1.3"": 2}"
ca,Catalan,entity_or_value,1.337,"""1.337""",2,2,1,1.337,2,1.0,False,"{""1.337"": 2}"
ca,Catalan,entity_or_value,1.524,"""1.524""",2,3,1,1.524,3,1.0,False,"{""1.524"": 3}"
ca,Catalan,entity_or_value,1.524 (metres),1.524 (metres),2,12,1,1.524 (metres),12,1.0,False,"{""1.524 (metres)"": 12}"
ca,Catalan,entity_or_value,1.55,1.55,2,2,1,1.55,2,1.0,False,"{""1.55"": 2}"
ca,Catalan,entity_or_value,1.7 (square kilometres),1.7 (square kilometres),2,2,1,1.7 (kilòmetres quadrats),2,1.0,False,"{""1.7 (kilòmetres quadrats)"": 2}"
ca,Catalan,entity_or_value,1.8 g,1.8 g,2,9,1,"1,8 g",9,1.0,False,"{""1,8 g"": 9}"
ca,Catalan,entity_or_value,1.905,1.905,2,8,1,1.905,8,1.0,False,"{""1.905"": 8}"
ca,Catalan,entity_or_value,1.9304,1.9304,2,4,1,1.9304,4,1.0,False,"{""1.9304"": 4}"
ca,Catalan,entity_or_value,1.9558,1.9558,2,7,1,1.9558,7,1.0,False,"{""1.9558"": 7}"
ca,Catalan,entity_or_value,1/19,"""1/19""",2,3,1,1/19,3,1.0,False,"{""1/19"": 3}"
ca,Catalan,entity_or_value,10 hygiea,10_Hygiea,2,97,1,(10) higiea,97,1.0,False,"{""(10) higiea"": 97}"
ca,Catalan,entity_or_value,100,100,2,32,1,100,32,1.0,False,"{""100"": 32}"
ca,Catalan,entity_or_value,1000 piazzia,1000_Piazzia,2,52,1,(1000) piazzia,52,1.0,False,"{""(1000) piazzia"": 52}"
ca,Catalan,entity_or_value,10000,10000,2,15,1,10000,15,1.0,False,"{""10000"": 15}"
ca,Catalan,entity_or_value,1001 gaussia,1001_Gaussia,2,70,1,(1001) gaussia,70,1.0,False,"{""(1001) gaussia"": 70}"
ca,Catalan,entity_or_value,"100305.0""(minutes)","""100305.0""(minutes)",2,20,1,"100305.0""(minuts)",20,1.0,False,"{""100305.0\""(minuts)"": 20}"
ca,Catalan,entity_or_value,101 helena,101_Helena,2,98,1,(101) hèlena,98,1.0,False,"{""(101) hèlena"": 98}"
ca,Catalan,entity_or_value,101 ukrop way,"""101 Ukrop Way""",2,40,1,101 ukrop way,40,1.0,False,"{""101 ukrop way"": 40}"
ca,Catalan,entity_or_value,102372,102372,2,5,1,102372,5,1.0,False,"{""102372"": 5}"
ca,Catalan,entity_or_value,10252,10252,2,21,1,10252,21,1.0,False,"{""10252"": 21}"
ca,Catalan,entity_or_value,10264000000,10264000000,2,25,1,10264000000,25,1.0,False,"{""10264000000"": 25}"
ca,Catalan,entity_or_value,103 colmore row,103_Colmore_Row,2,102,1,103 colmore row,102,1.0,False,"{""103 colmore row"": 102}"
ca,Catalan,entity_or_value,103 hera,103_Hera,2,89,1,(103) hera,89,1.0,False,"{""(103) hera"": 89}"
ca,Catalan,entity_or_value,1036 ganymed,1036_Ganymed,2,61,1,(1036) ganymed,61,1.0,False,"{""(1036) ganymed"": 61}"
ca,Catalan,entity_or_value,1046-8188,"""1046-8188""",2,6,1,1046-8188,6,1.0,False,"{""1046-8188"": 6}"
ca,Catalan,entity_or_value,106000,106000,2,2,1,106000,2,1.0,False,"{""106000"": 2}"
ca,Catalan,entity_or_value,107 camilla,107_Camilla,2,116,1,(107) camil·la,116,1.0,False,"{""(107) camil·la"": 116}"
ca,Catalan,entity_or_value,107.43 (square kilometres),107.43 (square kilometres),2,12,1,"107,43 (kilòmetres quadrats)",12,1.0,False,"{""107,43 (kilòmetres quadrats)"": 12}"
ca,Catalan,entity_or_value,108 st georges terrace,108_St_Georges_Terrace,2,34,1,108 terraça st georges,34,1.0,False,"{""108 terraça st georges"": 34}"
ca,Catalan,entity_or_value,1080,1080,2,2,1,1080,2,1.0,False,"{""1080"": 2}"
ca,Catalan,entity_or_value,1080-6377,"""1080-6377""",2,8,1,1080-6377,8,1.0,False,"{""1080-6377"": 8}"
ca,Catalan,entity_or_value,108600000,108600000,2,21,1,108600000,21,1.0,False,"{""108600000"": 21}"
ca,Catalan,entity_or_value,1089 tama,1089_Tama,2,109,1,(1089) tama,109,1.0,False,"{""(1089) tama"": 109}"
ca,Catalan,entity_or_value,109 felicitas,109_Felicitas,2,76,1,(109) felicitas,76,1.0,False,"{""(109) felicitas"": 76}"
ca,Catalan,entity_or_value,1095.0,1095.0,2,23,1,1095.0,23,1.0,False,"{""1095.0"": 23}"
ca,Catalan,entity_or_value,1097 vicia,1097_Vicia,2,85,1,(1097) vicia,85,1.0,False,"{""(1097) vicia"": 85}"
ca,Catalan,entity_or_value,1099 figneria,1099_Figneria,2,93,1,(1099) figneria,93,1.0,False,"{""(1099) figneria"": 93}"
ca,Catalan,entity_or_value,1099.0,1099.0,2,7,1,1099.0,7,1.0,False,"{""1099.0"": 7}"
ca,Catalan,entity_or_value,10l/28r,"""10L/28R""",2,13,1,10l/28r,13,1.0,False,"{""10l/28r"": 13}"
ca,Catalan,entity_or_value,10r/28l,"""10R/28L""",2,12,1,10r/28l,12,1.0,False,"{""10r/28l"": 12}"
ca,Catalan,entity_or_value,11 diagonal street,11_Diagonal_Street,2,63,1,"carrer de diagonal, 11",63,1.0,False,"{""carrer de diagonal, 11"": 63}"
ca,Catalan,entity_or_value,11.35,11.35,2,2,1,11.35,2,1.0,False,"{""11.35"": 2}"
ca,Catalan,entity_or_value,11.5,11.5,2,20,1,11.5,20,1.0,False,"{""11.5"": 20}"
ca,Catalan,entity_or_value,11/29,"""11/29""",2,12,1,11/29,12,1.0,False,"{""11/29"": 12}"
ca,Catalan,entity_or_value,110 lydia,110_Lydia,2,83,1,(110) lídia,83,1.0,False,"{""(110) lídia"": 83}"
ca,Catalan,entity_or_value,110 million (dollars),"""110 million (dollars)""",2,6,1,110 milions (dòlars),6,1.0,False,"{""110 milions (dòlars)"": 6}"
ca,Catalan,entity_or_value,1101 clematis,1101_Clematis,2,76,1,(1101) clematis,76,1.0,False,"{""(1101) clematis"": 76}"
ca,Catalan,entity_or_value,1104.1 (inhabitants per square kilometre),1104.1 (inhabitants per square kilometre),2,5,1,1104.1 (habitants per quilòmetre quadrat),5,1.0,False,"{""1104.1 (habitants per quilòmetre quadrat)"": 5}"
ca,Catalan,entity_or_value,111484 (square metres),111484 (square metres),2,7,1,111484 (metres quadrats),7,1.0,False,"{""111484 (metres quadrats)"": 7}"
ca,Catalan,entity_or_value,1121.0,1121.0,2,9,1,1121.0,9,1.0,False,"{""1121.0"": 9}"
ca,Catalan,entity_or_value,11264 claudiomaccone,11264_Claudiomaccone,2,91,1,(11264) claudiomaccone,91,1.0,False,"{""(11264) claudiomaccone"": 91}"
ca,Catalan,entity_or_value,1142.3 (inhabitants per square kilometre),1142.3 (inhabitants per square kilometre),2,11,1,1142.3 (habitants per quilòmetre quadrat),11,1.0,False,"{""1142.3 (habitants per quilòmetre quadrat)"": 11}"
ca,Catalan,entity_or_value,1147 stavropolis,1147_Stavropolis,2,156,1,(1147) stavropolis,156,1.0,False,"{""(1147) stavropolis"": 156}"
ca,Catalan,entity_or_value,1147.0,1147.0,2,13,1,1147.0,13,1.0,False,"{""1147.0"": 13}"
ca,Catalan,entity_or_value,11473.9,11473.9,2,5,1,11473.9,5,1.0,False,"{""11473.9"": 5}"
ca,Catalan,entity_or_value,115.0,115.0,2,2,1,115.0,2,1.0,False,"{""115.0"": 2}"
ca,Catalan,entity_or_value,1174,"""1174""",2,10,1,1174,10,1.0,False,"{""1174"": 10}"
ca,Catalan,entity_or_value,11th mississippi infantry monument,11th_Mississippi_Infantry_Monument,2,410,1,11è monument de la infanteria de mississipí,410,1.0,False,"{""11è monument de la infanteria de mississipí"": 410}"
ca,Catalan,entity_or_value,12,12,2,44,1,12,44,1.0,False,"{""12"": 44}"
ca,Catalan,entity_or_value,12.0,12.0,2,10,1,12.0,10,1.0,False,"{""12.0"": 10}"
ca,Catalan,entity_or_value,12/30,"""12/30""",2,4,1,12/30,4,1.0,False,"{""12/30"": 4}"
ca,Catalan,entity_or_value,120 million (australian dollars),"""120 million (Australian dollars)""",2,6,1,120 milions (dólars australians),6,1.0,False,"{""120 milions (dólars australians)"": 6}"
ca,Catalan,entity_or_value,120.0 (inches),120.0 (inches),2,5,1,120.0 (polzades),5,1.0,False,"{""120.0 (polzades)"": 5}"
ca,Catalan,entity_or_value,1200 (square metres),1200 (square metres),2,2,1,1200 (metres quadrats),2,1.0,False,"{""1200 (metres quadrats)"": 2}"
ca,Catalan,entity_or_value,1202.846 (days),1202.846 (days),2,15,1,1202.846 (dies),15,1.0,False,"{""1202.846 (dies)"": 15}"
ca,Catalan,entity_or_value,120770.0 (square metres),120770.0 (square metres),2,2,1,"120.770,0 (metres quadrats)",2,1.0,False,"{""120.770,0 (metres quadrats)"": 2}"
ca,Catalan,entity_or_value,121.92 (metres),121.92 (metres),2,4,1,121.92 (metres),4,1.0,False,"{""121.92 (metres)"": 4}"
ca,Catalan,entity_or_value,1219.0,1219.0,2,4,1,1219.0,4,1.0,False,"{""1219.0"": 4}"
ca,Catalan,entity_or_value,1239.3 (inhabitants per square kilometre),1239.3 (inhabitants per square kilometre),2,5,1,1239.3 (habitants per quilòmetre quadrat),5,1.0,False,"{""1239.3 (habitants per quilòmetre quadrat)"": 5}"
ca,Catalan,entity_or_value,1249.6,1249.6,2,22,1,1249.6,22,1.0,False,"{""1249.6"": 22}"
ca,Catalan,entity_or_value,124950000000.0,124950000000.0,2,8,1,124950000000.0,8,1.0,False,"{""124950000000.0"": 8}"
ca,Catalan,entity_or_value,125800.0 (millimetres),125800.0 (millimetres),2,22,1,125800.0 (mil·límetres),22,1.0,False,"{""125800.0 (mil·límetres)"": 22}"
ca,Catalan,entity_or_value,127.0 (inches),127.0 (inches),2,9,1,127.0 (polzades),9,1.0,False,"{""127.0 (polzades)"": 9}"
ca,Catalan,entity_or_value,1293057000,1293057000,2,2,1,1293057000,2,1.0,False,"{""1293057000"": 2}"
ca,Catalan,entity_or_value,1296.65 (inhabitants per square kilometre),1296.65 (inhabitants per square kilometre),2,6,1,"1296,65 (habitants per quilòmetre quadrat)",6,1.0,False,"{""1296,65 (habitants per quilòmetre quadrat)"": 6}"
ca,Catalan,entity_or_value,1299,1299,2,18,1,1299,18,1.0,False,"{""1299"": 18}"
ca,Catalan,entity_or_value,1299.0 (inhabitants per square kilometre),1299.0 (inhabitants per square kilometre),2,11,1,"1299,0 (habitants per quilòmetre quadrat)",11,1.0,False,"{""1299,0 (habitants per quilòmetre quadrat)"": 11}"
ca,Catalan,entity_or_value,12l/30r,"""12L/30R""",2,2,1,12l/30r,2,1.0,False,"{""12l/30r"": 2}"
ca,Catalan,entity_or_value,12r/30l,"""12R/30L""",2,4,1,12r/30l,4,1.0,False,"{""12r/30l"": 4}"
ca,Catalan,entity_or_value,13/31,"""13/31""",2,8,1,13/31,8,1.0,False,"{""13/31"": 8}"
ca,Catalan,entity_or_value,"13017.0""(minutes)","""13017.0""(minutes)",2,4,1,"13017.0""(minuts)",4,1.0,False,"{""13017.0\""(minuts)"": 4}"
ca,Catalan,entity_or_value,131.6 (square kilometres),131.6 (square kilometres),2,24,1,"131,6 (kilòmetres quadrats)",24,1.0,False,"{""131,6 (kilòmetres quadrats)"": 24}"
ca,Catalan,entity_or_value,13123,13123,2,2,1,13123,2,1.0,False,"{""13123"": 2}"
ca,Catalan,entity_or_value,135000000.0,135000000.0,2,2,1,135000000.0,2,1.0,False,"{""135000000.0"": 2}"
ca,Catalan,entity_or_value,135589000.0,135589000.0,2,15,1,135589000.0,15,1.0,False,"{""135589000.0"": 15}"
ca,Catalan,entity_or_value,1360-0443,"""1360-0443""",2,5,1,1360-0443,5,1.0,False,"{""1360-0443"": 5}"
ca,Catalan,entity_or_value,139705000.0,139705000.0,2,12,1,139705000.0,12,1.0,False,"{""139705000.0"": 12}"
ca,Catalan,entity_or_value,14.2 (square kilometres),14.2 (square kilometres),2,2,1,"14,2 (kilòmetres quadrats)",2,1.0,False,"{""14,2 (kilòmetres quadrats)"": 2}"
ca,Catalan,entity_or_value,140.8 (square kilometres),140.8 (square kilometres),2,5,1,140.8 (quilòmetres quadrats),5,1.0,False,"{""140.8 (quilòmetres quadrats)"": 5}"
ca,Catalan,entity_or_value,140000.0 (square metres),140000.0 (square metres),2,10,1,140000.0 (metres quadrats),10,1.0,False,"{""140000.0 (metres quadrats)"": 10}"
ca,Catalan,entity_or_value,1411.0,1411.0,2,8,1,1411.0,8,1.0,False,"{""1411.0"": 8}"
ca,Catalan,entity_or_value,1418,1418,2,9,1,1418,9,1.0,False,"{""1418"": 9}"
ca,Catalan,entity_or_value,1421.2 (inhabitants per square kilometre),1421.2 (inhabitants per square kilometre),2,5,1,1421.2 (habitants per quilòmetre quadrat),5,1.0,False,"{""1421.2 (habitants per quilòmetre quadrat)"": 5}"
ca,Catalan,entity_or_value,142603000.0,142603000.0,2,14,1,142603000.0,14,1.0,False,"{""142603000.0"": 14}"
ca,Catalan,entity_or_value,1439.0,1439.0,2,2,1,1439.0,2,1.0,False,"{""1439.0"": 2}"
ca,Catalan,entity_or_value,144.7 (square kilometres),144.7 (square kilometres),2,8,1,144.7 (quilòmetres quadrats),8,1.0,False,"{""144.7 (quilòmetres quadrats)"": 8}"
ca,Catalan,entity_or_value,1461102,1461102,2,2,1,1461102,2,1.0,False,"{""1461102"": 2}"
ca,Catalan,entity_or_value,1472.0 (inhabitants per square kilometre),1472.0 (inhabitants per square kilometre),2,3,1,1472.0 (habitants per quilòmetre quadrat),3,1.0,False,"{""1472.0 (habitants per quilòmetre quadrat)"": 3}"
ca,Catalan,entity_or_value,1473-5571,"""1473-5571""",2,5,1,1473-5571,5,1.0,False,"{""1473-5571"": 5}"
ca,Catalan,entity_or_value,1480153,1480153,2,3,1,1480153,3,1.0,False,"{""1480153"": 3}"
ca,Catalan,entity_or_value,14l/32r,"""14L/32R""",2,18,1,14l/32r,18,1.0,False,"{""14l/32r"": 18}"
ca,Catalan,entity_or_value,14r/32l,"""14R/32L""",2,6,1,14r/32l,6,1.0,False,"{""14r/32l"": 6}"
ca,Catalan,entity_or_value,14th new jersey volunteer infantry monument,14th_New_Jersey_Volunteer_Infantry_Monument,2,117,1,14th new jersey volunteer infantry monument,117,1.0,False,"{""14th new jersey volunteer infantry monument"": 117}"
ca,Catalan,entity_or_value,15/33,"""15/33""",2,7,1,15/33,7,1.0,False,"{""15/33"": 7}"
ca,Catalan,entity_or_value,1500,1500,2,20,1,1500,20,1.0,False,"{""1500"": 20}"
ca,Catalan,entity_or_value,1510.0,1510.0,2,3,1,1510.0,3,1.0,False,"{""1510.0"": 3}"
ca,Catalan,entity_or_value,15100000000,15100000000,2,18,1,15100000000,18,1.0,False,"{""15100000000"": 18}"
ca,Catalan,entity_or_value,1513.722 (days),1513.722 (days),2,14,1,1513.722 (dies),14,1.0,False,"{""1513.722 (dies)"": 14}"
ca,Catalan,entity_or_value,1516.6700000000003 (days),1516.6700000000003 (days),2,10,1,1516.6700000000003 (dies),10,1.0,False,"{""1516.6700000000003 (dies)"": 10}"
ca,Catalan,entity_or_value,1533.0,1533.0,2,14,1,1533.0,14,1.0,False,"{""1533.0"": 14}"
ca,Catalan,entity_or_value,154.0 (kelvins),154.0 (kelvins),2,2,1,154.0 (kelvins),2,1.0,False,"{""154.0 (kelvins)"": 2}"
ca,Catalan,entity_or_value,155.0 (kelvins),155.0 (kelvins),2,3,1,155.0 (kelvins),3,1.0,False,"{""155.0 (kelvins)"": 3}"
ca,Catalan,entity_or_value,1558-2868,"""1558-2868""",2,6,1,1558-2868,6,1.0,False,"{""1558-2868"": 6}"
ca,Catalan,entity_or_value,156.0 (kelvins),156.0 (kelvins),2,3,1,156.0 (kelvins),3,1.0,False,"{""156.0 (kelvins)"": 3}"
ca,Catalan,entity_or_value,1580.7 (inhabitants per square kilometre),1580.7 (inhabitants per square kilometre),2,9,1,1580.7 (habitants per quilòmetre quadrat),9,1.0,False,"{""1580.7 (habitants per quilòmetre quadrat)"": 9}"
ca,Catalan,entity_or_value,1588-2632,"""1588-2632""",2,6,1,1588-2632,6,1.0,False,"{""1588-2632"": 6}"
ca,Catalan,entity_or_value,159,159,2,22,1,159,22,1.0,False,"{""159"": 22}"
ca,Catalan,entity_or_value,16.37 (kilometreperseconds),16.37 (kilometrePerSeconds),2,2,1,16.37 (quilòmetrepersegons),2,1.0,False,"{""16.37 (quilòmetrepersegons)"": 2}"
ca,Catalan,entity_or_value,16.54 (kilometreperseconds),16.54 (kilometrePerSeconds),2,2,1,16.54 (quilòmetrepersegons),2,1.0,False,"{""16.54 (quilòmetrepersegons)"": 2}"
ca,Catalan,entity_or_value,16.55 (square kilometres),16.55 (square kilometres),2,9,1,"16,55 (kilòmetres quadrats)",9,1.0,False,"{""16,55 (kilòmetres quadrats)"": 9}"
ca,Catalan,entity_or_value,16.76 (kilometreperseconds),16.76 (kilometrePerSeconds),2,3,1,16.76 (quilòmetrepersegons),3,1.0,False,"{""16.76 (quilòmetrepersegons)"": 3}"
ca,Catalan,entity_or_value,16.86 (kilometreperseconds),16.86 (kilometrePerSeconds),2,2,1,16.86 (quilòmetrepersegons),2,1.0,False,"{""16.86 (quilòmetrepersegons)"": 2}"
ca,Catalan,entity_or_value,16/34,"""16/34""",2,3,1,16/34,3,1.0,False,"{""16/34"": 3}"
