variant_id,base_pair_key,record_key,language,language_label,qa_track,corruption_type,severity,declared_size,source_lid,variant_lid,source_triples,clean_target_triples,variant_target_triples,source_text,clean_target_text,variant_target_text,xml_duplicate_target_lex,xml_path,split,triple_bucket,category,eid,is_benign,consistency_group_id,perturbation_pair_id,removed_token_fraction,alternative_reference_lid,alternative_source_text,qa21_instance_key,text_similarity,triple_similarity,predicate_similarity,structured_predicate_review_flag,predicate_pair_count,predicate_alignment_valid,source_target_literal_preservation,source_literal_count,target_triple_count,minimum_triple_coverage,minimum_text_groundedness,textual_unit_count,target_text_literal_retention,target_literal_count,english_literal_eligible,target_literal_full_success,coverage_threshold,groundedness_threshold,coverage_margin,groundedness_margin,english_calibrated_coverage_pass,english_calibrated_groundedness_pass,english_triple_count,english_minimum_triple_coverage,english_minimum_text_groundedness,manual_target_triples_correct,manual_text_adequacy_1_5,manual_all_facts_expressed,manual_unsupported_addition,manual_entities_values_correct,manual_notes
original__ca__e94165ee24f6,train/2triples/WrittenWork.xml::Id130::Id1,train/2triples/WrittenWork.xml::Id130,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Acta_Mathematica_Hungarica | abbreviation | ""Acta Math. Hungar.""', 'Acta_Mathematica_Hungarica | academicDiscipline | Mathematics']","['Acta_Mathematica_Hungarica | Abreviació | Acta_Math._Hungar.', 'Acta_Mathematica_Hungarica | DisciplinaAcadèmica | matemàtiques']","['Acta_Mathematica_Hungarica | Abreviació | Acta_Math._Hungar.', 'Acta_Mathematica_Hungarica | DisciplinaAcadèmica | matemàtiques']","Acta Mathematica Hungarica has the abbreviation of ""Acta Math. Hungar."" and comes under the discipline of Math.","Acta Mathematica Hungarica té l'abreviatura de ""Acta Math. Hungar."" i ve sota la disciplina de Matemàtiques.","Acta Mathematica Hungarica té l'abreviatura de ""Acta Math. Hungar."" i ve sota la disciplina de Matemàtiques.",False,train/2triples/WrittenWork.xml,train,2triples,WrittenWork,Id130,False,,,,,,original__ca__e94165ee24f6,0.9269068241119385,0.9806267023086548,0.8595189154148102,0.0,2,True,,0,2,0.7437360882759094,0.6267026662826538,2,,0,False,False,0.4160341203212738,0.4842067241668701,0.32770196795463563,0.1424959421157837,True,True,2,0.6660881638526917,0.5712634921073914,,,,,,
original__ca__7312edc71dc8,train/2triples/ComicsCharacter.xml::Id12::Id1,train/2triples/ComicsCharacter.xml::Id12,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Asterix_(comicsCharacter) | creator | René_Goscinny', 'René_Goscinny | nationality | French_people']","['Asterix_(personatge_de_còmics) | Creador | René_Goscinny', 'René_Goscinny | Nacionalitat | Persones_franceses']","['Asterix_(personatge_de_còmics) | Creador | René_Goscinny', 'René_Goscinny | Nacionalitat | Persones_franceses']","The creator of Asterix, a comics character, is René Goscinny, who is French.","El creador d'Astèrix, un personatge de còmics, és René Goscinny, que és francès.","El creador d'Astèrix, un personatge de còmics, és René Goscinny, que és francès.",False,train/2triples/ComicsCharacter.xml,train,2triples,ComicsCharacter,Id12,False,,,,,,original__ca__7312edc71dc8,0.9659709930419922,0.9791659116744995,0.9173658490180969,0.0,2,True,,0,2,0.5858254432678223,0.7324824929237366,1,,0,False,False,0.4160341203212738,0.4842067241668701,0.16979132294654847,0.24827576875686647,True,True,2,0.5441569089889526,0.7415030002593994,,,,,,
original__ca__9fae396347d9,train/2triples/Airport.xml::Id49::Id1,train/2triples/Airport.xml::Id49,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Agra_Airport | location | Uttar_Pradesh', 'Uttar_Pradesh | isPartOf | Bundelkhand']","[""Aeroport_d'_Agra | Ubicació | Uttar_Pradesh"", 'Uttar_Pradesh | ÉsPartDe | Bundelkhand']","[""Aeroport_d'_Agra | Ubicació | Uttar_Pradesh"", 'Uttar_Pradesh | ÉsPartDe | Bundelkhand']",Agra Airport is in Uttar Pradesh which is part of Bundelkhand.,"L'aeroport d'Agra es troba a Uttar Pradesh, que forma part de Bundelkhand.","L'aeroport d'Agra es troba a Uttar Pradesh, que forma part de Bundelkhand.",False,train/2triples/Airport.xml,train,2triples,Airport,Id49,False,,,,,,original__ca__9fae396347d9,0.9081643223762512,0.975439727306366,0.7338178753852844,0.0,2,True,,0,2,0.6018030643463135,0.7142195701599121,1,,0,False,False,0.4160341203212738,0.4842067241668701,0.18576894402503968,0.230012845993042,True,True,2,0.545906662940979,0.7788659334182739,,,,,,
original__ca__17d7d6049375,train/3triples/Athlete.xml::Id164::Id1,train/3triples/Athlete.xml::Id164,ca,Catalan,CLEAN,clean,clean,3,Id1,Id1,"['Alessio_Romagnoli | club | Italy_national_under-17_football_team', 'Italy_national_under-17_football_team | coach | Alessandro_Dal_Canto', 'Alessio_Romagnoli | club | Italy_national_under-19_football_team']","['Alessio_Romagnoli | Trèvols | Itàlia_sub-17', 'Itàlia_sub-17 | Entrenador | Alessandro_Dal_Canto', 'Alessio_Romagnoli | Trèvols | Itàlia_sub-19']","['Alessio_Romagnoli | Trèvols | Itàlia_sub-17', 'Itàlia_sub-17 | Entrenador | Alessandro_Dal_Canto', 'Alessio_Romagnoli | Trèvols | Itàlia_sub-19']","Alessio Romagnoli plays for the Italy national under-17 football team, which is coached by, Alessandro Dal Canto. Alessio Romagnoli's club is the Italy national under 19 football team.","Alessio Romagnoli juga amb l'equip nacional italià de futbol sub-17, entrenat per Alessandro Dal Canto. El club d'Alessio Romagnoli és l'equip nacional italià de futbol sub-19.","Alessio Romagnoli juga amb l'equip nacional italià de futbol sub-17, entrenat per Alessandro Dal Canto. El club d'Alessio Romagnoli és l'equip nacional italià de futbol sub-19.",False,train/3triples/Athlete.xml,train,3triples,Athlete,Id164,False,,,,,,original__ca__17d7d6049375,0.9646536111831665,0.8632014989852905,0.5810856223106384,0.0,3,True,1.0,2,3,0.49560660123825073,0.5254753828048706,2,1.0,2,True,True,0.33754532784223557,0.4270522966980934,0.15806127339601517,0.09842308610677719,True,True,3,0.6953929662704468,0.738761305809021,,,,,,
original__ca__f1adf66d6e46,train/3triples/Food.xml::Id301::Id1,train/3triples/Food.xml::Id301,ca,Catalan,CLEAN,clean,clean,3,Id1,Id1,"['Singapore | leader | Tony_Tan', 'Beef_kway_teow | country | Singapore', 'Singapore | leader | Halimah_Yacob']","['Singapur | Líder | Tony_Tan', 'Vedella_kway_teow | País | Singapur', 'Singapur | Líder | Halimah_Yacob']","['Singapur | Líder | Tony_Tan', 'Vedella_kway_teow | País | Singapur', 'Singapur | Líder | Halimah_Yacob']","Beef kway teow is a popular dish in Singapore, where Tony Tan and Halimah Yacob are leaders.","El kway teow de vedella és un plat popular a Singapur, on Tony Tan i Halimah Yacob són els líders.","El kway teow de vedella és un plat popular a Singapur, on Tony Tan i Halimah Yacob són els líders.",False,train/3triples/Food.xml,train,3triples,Food,Id301,False,,,,,,original__ca__f1adf66d6e46,0.88124018907547,0.9331122636795044,0.9823278983434042,0.0,3,True,,0,3,0.5539412498474121,0.6377034187316895,1,,0,False,False,0.33754532784223557,0.4270522966980934,0.21639592200517654,0.21065112203359604,True,True,3,0.5202475190162659,0.7360309958457947,,,,,,
original__ca__055ad1da4472,train/5triples/Food.xml::Id14::Id3,train/5triples/Food.xml::Id14,ca,Catalan,CLEAN,clean,clean,5,Id3,Id3,"['Arem-arem | country | Indonesia', 'Arem-arem | region | ""Nationwide in Indonesia, but more specific to Java""', 'Indonesia | leader | Joko_Widodo', 'Indonesia | currency | Indonesian_rupiah', 'Indonesia | language | Indonesian_language']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Moneda | Rupia_indonesiana', 'Indonèsia | Llengua | Llengua_indonesiana']","['Arem-arem | País | Indonèsia', 'Arem-arem | Regió | Nacional_a_Indonèsia,_però_més_específic_a_Java', 'Indonèsia | Líder | Joko_Widodo', 'Indonèsia | Moneda | Rupia_indonesiana', 'Indonèsia | Llengua | Llengua_indonesiana']","Arem-arem, is predominant in Indonesia's Java. Indonesia is led by Joko Widodo, hails the currency rupiah and the Indonesian language is spoken.","Arem-arem, és predominant a Java, Indonèsia. Indonèsia està dirigida per Joko Widodo, té com a moneda la rupia i es parla l'idioma indonesi.","Arem-arem, és predominant a Java, Indonèsia. Indonèsia està dirigida per Joko Widodo, té com a moneda la rupia i es parla l'idioma indonesi.",False,train/5triples/Food.xml,train,5triples,Food,Id14,False,,,,,,original__ca__055ad1da4472,0.971351146697998,0.9417768716812134,0.9402888894081116,0.0,5,True,,0,5,0.5847995281219482,0.6921810507774353,2,,0,False,False,0.25082006603479384,0.3705099388957024,0.3339794620871544,0.3216711118817329,True,True,5,0.6466126441955566,0.7007478475570679,,,,,,
original__ca__979f8594a592,train/2triples/City.xml::Id150::Id3,train/2triples/City.xml::Id150,ca,Catalan,CLEAN,clean,clean,2,Id3,Id3,"['Texas | capital | Austin,_Texas', 'Arlington,_Texas | isPartOf | Texas']","['Texas | Capital | Austin,_Texas', 'Arlington,_Texas | ÉsPartDe | Texas']","['Texas | Capital | Austin,_Texas', 'Arlington,_Texas | ÉsPartDe | Texas']",Austin is the capital city of Texas and Arlington is part of the state too.,Austin és la capital de Texas i Arlington també forma part de l'estat.,Austin és la capital de Texas i Arlington també forma part de l'estat.,False,train/2triples/City.xml,train,2triples,City,Id150,False,,,,,,original__ca__979f8594a592,0.9922627806663513,0.9879802465438843,0.7550090551376343,0.0,2,True,,0,2,0.5743812918663025,0.6903172731399536,1,,0,False,False,0.4160341203212738,0.4842067241668701,0.1583471715450287,0.2061105489730835,True,True,2,0.6051040887832642,0.6932662725448608,,,,,,
original__ca__0bd0d6ea0771,train/2triples/SportsTeam.xml::Id65::Id3,train/2triples/SportsTeam.xml::Id65,ca,Catalan,CLEAN,clean,clean,2,Id3,Id3,"['A.F.C._Blackpool | manager | Stuart_Parker_(footballer)', 'Stuart_Parker_(footballer) | club | Chesterfield_F.C.']","['A.F.C._Blackpool | Gerent | Stuart_Parker_(futbolista)', 'Stuart_Parker_(futbolista) | Trèvols | Chesterfield_FC']","['A.F.C._Blackpool | Gerent | Stuart_Parker_(futbolista)', 'Stuart_Parker_(futbolista) | Trèvols | Chesterfield_FC']","The manager of A.F.C. Blackpool is Stuart Parker, who is a member of the Chesterfield F.C.","El director de l'A.F.C. Blackpool és Stuart Parker, que és membre del Chesterfield F.C.","El director de l'A.F.C. Blackpool és Stuart Parker, que és membre del Chesterfield F.C.",False,train/2triples/SportsTeam.xml,train,2triples,SportsTeam,Id65,False,,,,,,original__ca__0bd0d6ea0771,0.9748637676239014,0.9500441551208496,0.43934671580791473,0.0,2,True,,0,2,0.6378382444381714,0.46670669317245483,2,,0,False,False,0.4160341203212738,0.4842067241668701,0.2218041241168976,-0.017500030994415272,True,False,2,0.7265803813934326,0.5488765239715576,,,,,,
original__ca__71b304e88c20,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id417::Id1,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id417,ca,Catalan,CLEAN,clean,clean,2,Id1,Id1,"['Expect_a_Miracle | genre | Instrumental_music', 'Expect_a_Miracle | genre | Easy_listening']","['Espera_un_miracle | Gènere | música_instrumental', 'Espera_un_miracle | Gènere | música_lleugera']","['Espera_un_miracle | Gènere | música_instrumental', 'Espera_un_miracle | Gènere | música_lleugera']",The album Expect a miracle is of the easy instrumental Listening music genre.,L'àlbum Expect a miracle és del gènere de música Listening instrumental fàcil.,L'àlbum Expect a miracle és del gènere de música Listening instrumental fàcil.,False,test/rdf-to-text-generation-test-data-with-refs-en.xml,test,rdf-to-text-generation-test-data-with-refs-en.xml,MusicalWork,Id417,False,,,,,,original__ca__71b304e88c20,0.9738035202026367,0.8395327925682068,0.6186143159866333,0.0,2,True,,0,2,0.535831093788147,0.5731180310249329,1,,0,False,False,0.4160341203212738,0.4842067241668701,0.11979697346687318,0.08891130685806276,True,True,2,0.6912999749183655,0.6963798403739929,,,,,,
original__ca__575b8b301b3a,train/4triples/WrittenWork.xml::Id6::Id3,train/4triples/WrittenWork.xml::Id6,ca,Catalan,CLEAN,clean,clean,4,Id3,Id3,"['1634:_The_Bavarian_Crisis | author | Eric_Flint', '1634:_The_Bavarian_Crisis | precededBy | 1634:_The_Baltic_War', 'Eric_Flint | birthPlace | Burbank,_California', '1634:_The_Bavarian_Crisis | precededBy | ""DeMarce short stories in the The Grantville Gazettes""']","['1634:_La_crisi_de_Baviera | Autor | Eric_Flint', '1634:_La_crisi_de_Baviera | PreceditPer | 1634:_La_guerra_del_Bàltic', 'Eric_Flint | LlocDeNaixement | Burbank,_Califòrnia', '1634:_La_crisi_de_Baviera | PreceditPer | Històries_curtes_de_DeMarce_a_The_Grantville_Gazettes']","['1634:_La_crisi_de_Baviera | Autor | Eric_Flint', '1634:_La_crisi_de_Baviera | PreceditPer | 1634:_La_guerra_del_Bàltic', 'Eric_Flint | LlocDeNaixement | Burbank,_Califòrnia', '1634:_La_crisi_de_Baviera | PreceditPer | Històries_curtes_de_DeMarce_a_The_Grantville_Gazettes']","Eric Flint was born in Burbank, California and is the author of 1634: The Bavarian Crisis which was preceded by 1634: The Baltic War and the DeMarce short stories in the Grantville Gazettes.","Eric Flint va néixer a Burbank, Califòrnia i és l'autor de 1634: The Bavarian Crisis que va ser precedit per 1634: The Baltic War i les històries curtes de DeMarce a les Grantville Gazettes.","Eric Flint va néixer a Burbank, Califòrnia i és l'autor de 1634: The Bavarian Crisis que va ser precedit per 1634: The Baltic War i les històries curtes de DeMarce a les Grantville Gazettes.",False,train/4triples/WrittenWork.xml,train,4triples,WrittenWork,Id6,False,,,,,,original__ca__575b8b301b3a,0.9914448261260986,0.9620487689971924,0.7092976123094559,0.0,4,True,1.0,1,4,0.5319064855575562,0.7117679119110107,1,1.0,1,True,True,0.28582777082920074,0.3673718720674515,0.2460787147283554,0.34439603984355927,True,True,4,0.4770521819591522,0.7042315006256104,,,,,,
