case_id,subqa,language,language_label,category,record_or_component,english_triples,target_triples,aligned_english_text,target_text,comparison_or_context,automatic_risk,automatic_basis,automatic_signals
QA21-CA-d078b5059a28,QA2.1,ca,Catalan,Food,train/4triples/Food.xml::Id37::Id2,"Arrabbiata_sauce | ingredient | Tomato
Tomato | division | Flowering_plant
Tomato | order | Solanales
Tomato | family | Solanaceae","salsa_arrabbiata | Ingredient | tomàquet
tomàquet | Divisió | planta_amb_flors
tomàquet | Ordre | Solanals
tomàquet | Família | solanàcies","Arrabbiata sauce includes tomatoes which are part of the flowering plant division and solanaceae family, order of Solanales.","La salsa arrabbiata inclou tomàquets, que formen part de la divisió de plantes amb flors i de la família de les solanàcies, de l'ordre de les solanals.",English lexicalisation ID: Id2; target lexicalisation ID: Id2,Medium,at least one semantic score is in the lowest 10%.,"{""below_10_percent"": [""text_similarity""], ""below_1_percent"": [], ""below_5_percent"": [""text_similarity""], ""predicate_similarity"": 0.9731110781431198, ""source_target_literal_preservation"": null, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.7759095430374146, ""triple_similarity"": 0.9079909920692444}"
QA22-ES-f18bb32afe29,QA2.2,es,Spanish,MeanOfTransportation,train/3triples/MeanOfTransportation.xml::Id150::Id2,"Antares_(rocket) | manufacturer | Orbital_ATK
Antares_(rocket) | launchSite | Mid-Atlantic_Regional_Spaceport_Launch_Pad_0
Antares_(rocket) | function | ""Medium expendable launch system""","Antares_(cohete) | Fabricante | Orbital_ATK
Antares_(cohete) | LugarDeLanzamiento | Plataforma_de_lanzamiento_0_del_Puerto_Espacial_Regional_del_Atlántico_Medio
Antares_(cohete) | Función | Sistema_de_lanzamiento_medio",The Antares rocket function is a medium expendable launch system manufactured by Orbital ATK and was launched at the Mid-Atlantic Regional Spaceport Launch Pad 0.,El cohete Antares es un sistema de lanzamiento prescindible medio fabricado por Orbital ATK y se lanzó en la plataforma de lanzamiento 0 del Mid-Atlantic Regional Spaceport.,Judge the target text only against the target triples; the English pair is supplied as alignment context.,Low,Coverage and groundedness pass; no target literal failure is observed.,"{""coverage_pass"": true, ""groundedness_pass"": true, ""minimum_text_groundedness"": 0.7055510878562927, ""minimum_triple_coverage"": 0.5985782146453857, ""target_text_literal_retention"": 1.0}"
QA31-CA-02a164be5c49,QA3.1,ca,Catalan,Athlete,train/2triples/Athlete.xml::Id98::Id2,"Alan_Martin_(footballer) | club | Clyde_F.C.
Clyde_F.C. | ground | Broadwood_Stadium","Alan_Martin_(futbolista) | Trèvols | Clyde_FC
Clyde_FC | Terra | Estadi_Broadwood",Alan Martin plays football for the Clyde FC club at The Broadwood Stadium.,Alan Martin juga futbol pel club Clyde FC al Broadwood Stadium.,Assess language identity and substantial English leakage; do not score general fluency or style here.,Medium,"The expected language does not reach the confidence-based valid-language decision, but no hard flag is active.","{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""ca"", ""target_language_probability"": 0.6709824204444885, ""valid_target_language"": false, ""wrong_language_detected"": false}"
QA12-ES-334322866f2f,QA1.2,es,Spanish,entity_or_value,Wisconsin,,,,,"Observed target forms and counts: {""wisconsin"": 3}
Example mappings:
train/1triples/Company_allSolutions.xml::Id45: Wisconsin → Wisconsin
train/3triples/Company.xml::Id57: Wisconsin → Wisconsin
train/4triples/Company.xml::Id42: Wisconsin → Wisconsin",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 3, ""target_form_count"": 1}"
QA11-ES-257d1c4605c7,QA1.1,es,Spanish,SportsTeam,train/2triples/SportsTeam.xml::Id90,"A.S._Livorno_Calcio | manager | Christian_Panucci
Christian_Panucci | club | Genoa_C.F.C.","A.S._Livorno_Calcio | Director | Christian_Panucci
Christian_Panucci | Club | Genoa_C.F.C.",A.S. Livorno Calcio is managed by Christian Panucci who played football for Genoa C.F.C.,"El A.S. Livorno Calcio está dirigido por Christian Panucci, que jugó al fútbol en el Genoa C.F.C.","Expected triples: 2; English IDs: Id1
Id2
Id3; Target IDs: Id1
Id2
Id3; Target lexicalisations in entry: El A.S. Livorno Calcio está dirigido por Christian Panucci, que jugó al fútbol en el Genoa C.F.C.
El A.S. Livorno Calcio está dirigido por Christian Panucci, vinculado al club Genoa CFC.
El A.S. Livorno Calcio está dirigido por Christian Panucci, que jugó al fútbol en el Genoa C.F.C.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA22-CA-d9673705c34f,QA2.2,ca,Catalan,CelestialBody,dev/1triples/CelestialBody_allSolutions.xml::Id16::Id3,109_Felicitas | temperature | 170.0 (kelvins),(109)_Felicitas | Temperatura | 170.0_(kelvins),The temperature of the asteroid called 109 Felicitas is 170.0 kelvins.,"La temperatura de l'asteroide anomenat 109 Felicitas és de 170,0 kelvins.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,Low,Coverage and groundedness pass; no target literal failure is observed.,"{""coverage_pass"": true, ""groundedness_pass"": true, ""minimum_text_groundedness"": 0.6595041155815125, ""minimum_triple_coverage"": 0.6595041155815125, ""target_text_literal_retention"": 1.0}"
QA31-CA-6543dc965731,QA3.1,ca,Catalan,MusicalWork,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id1566::Id3,"Mermaid_(Train_song) | recordLabel | Sony_Music_Entertainment
Mermaid_(Train_song) | writer | Espen_Lind","Sirena_(cançó_de_tren) | EtiquetaDelRegistre | Sony_Music_Entertainment_(anglès)
Sirena_(cançó_de_tren) | Escriptor | Espen_Lind","The song ""Mermaid"" by Train was originally written by Espen Lind and released under the record label of Sony Music Entertainment.","La cançó ""Mermaid"" de Train va ser escrita originalment per Espen Lind i llançada sota el segell discogràfic de Sony Music Entertainment.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""ca"", ""target_language_probability"": 0.8593191504478455, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA31-ES-b28c82e49848,QA3.1,es,Spanish,WrittenWork,train/4triples/WrittenWork.xml::Id91::Id3,"Addiction_(journal) | issnNumber | ""1360-0443""
Addiction_(journal) | LCCN_number | 93645978
Addiction_(journal) | abbreviation | ""Addiction""
Addiction_(journal) | publisher | ""Wiley-Blackwell on behalf of the Society for the Study of Addiction""","Addiction_(revista) | NúmeroIssn | 1360-0443
Addiction_(revista) | LCCNNúmero | 93645978
Addiction_(revista) | Abreviatura | adicción
Addiction_(revista) | Editor | Wiley-Blackwell_en_nombre_de_la_Sociedad_para_el_Estudio_de_la_Adicción","Addiction (journal) abbreviated to Addiction has an ISSN number of 1360-0443, a LCCN number of 93645978 and was published by Wiley-Blackwell on behalf of the Society of the Study of Addiction.","Addiction (revista) abreviada Addiction tiene un número ISSN de 1360-0443, un número LCCN de 93645978 y fue publicada por Wiley-Blackwell en nombre de la Society of the Study of Addiction.",Assess language identity and substantial English leakage; do not score general fluency or style here.,High,At least one hard language diagnostic is active.,"{""code_switch_detected"": true, ""full_english_copy_detected"": false, ""hard_language_flag"": true, ""predicted_language"": ""es"", ""target_language_probability"": 0.8248382210731506, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA21-ES-3aac4b4250e8,QA2.1,es,Spanish,Astronaut,dev/5triples/Astronaut.xml::Id11::Id2,"William_Anders | dateOfRetirement | ""1969-09-01""
Apollo_8 | commander | Frank_Borman
William_Anders | mission | Apollo_8
Apollo_8 | backupPilot | Buzz_Aldrin
Apollo_8 | operator | NASA","William_Anders | FechaDeJubilación | 01-09-1969
Apolo_8 | Comandante | Frank_Borman
William_Anders | Misión | Apolo_8
Apolo_8 | PilotoDeReserva | Buzz_Aldrin
Apolo_8 | Operador | Administración_Nacional_de_Aeronáutica_y_del_Espacio","William Anders, who retired on September 1st, 1969, was a crew member on Apollo 8 and served under commander Frank Borman. Apollo 8 was operated by NASA with Buzz Aldrin as backup pilot.","William Anders, que se jubiló el 1 de septiembre de 1969, fue miembro de la tripulación del Apolo 8 y sirvió a las órdenes del comandante Frank Borman. El Apolo 8 fue operado por la NASA con Buzz Aldrin como piloto de reserva.",English lexicalisation ID: Id2; target lexicalisation ID: Id2,Low,No literal failure or lower-tail semantic review condition is present.,"{""below_10_percent"": [], ""below_1_percent"": [], ""below_5_percent"": [], ""predicate_similarity"": 0.7976130753755569, ""source_target_literal_preservation"": 1.0, ""structured_predicate_review_flag"": false, ""text_similarity"": 0.9307987093925476, ""triple_similarity"": 0.9119783639907837}"
QA22-CA-817f6339ffa3,QA2.2,ca,Catalan,MeanOfTransportation,dev/1triples/MeanOfTransportation_allSolutions.xml::Id18::Id4,Alhambra | maidenVoyage | 1855-07-07,Alhambra | MaidenVoyage | 1855-07-07,"The Alhambra had its first trip on July 7, 1855.",L'Alhambra va fer el seu primer viatge el 7 de juliol de 1855.,Judge the target text only against the target triples; the English pair is supplied as alignment context.,High,both English-calibrated support directions fail.,"{""coverage_pass"": false, ""groundedness_pass"": false, ""minimum_text_groundedness"": 0.3863874673843384, ""minimum_triple_coverage"": 0.38638752698898315, ""target_text_literal_retention"": 1.0}"
QA11-CA-36c067ef7a38,QA1.1,ca,Catalan,Politician,train/5triples/Politician.xml::Id70,"Agnes_Kant | nationality | Netherlands
Netherlands | leader | Mark_Rutte
Netherlands | currency | Euro
Socialist_Party_(Netherlands) | leader | Emile_Roemer
Agnes_Kant | party | Socialist_Party_(Netherlands)","Agnes_Kant | Nacionalitat | Països_Baixos
Països_Baixos | Líder | Mark_Rutte
Països_Baixos | Moneda | euro
Partit_Socialista_(Països_Baixos) | Líder | Emile_Roemer
Agnes_Kant | Festa | Partit_Socialista_(Països_Baixos)","The Euro is the currency in the Netherlands, the leader of which, is Mark Rutte. A Netherlands national, Agnes Kant is a member of the Socialist Party in the Netherlands which is led by Emile Roemer.","L'euro és la moneda dels Països Baixos, el líder dels quals és Mark Rutte. La ciutadana neerlandesa Agnes Kant és membre del Partit Socialista dels Països Baixos, liderat per Emile Roemer.","Expected triples: 5; English IDs: Id1
Id2
Id3; Target IDs: Id1
Id2
Id3; Target lexicalisations in entry: L'euro és la moneda dels Països Baixos, el líder dels quals és Mark Rutte. La ciutadana neerlandesa Agnes Kant és membre del Partit Socialista dels Països Baixos, liderat per Emile Roemer.
La moneda dels Països Baixos és l' euro i el líder dels Països Baixos és Mark Rutte. Agnes Kant, nacional dels Països Baixos, és membre del Partit Socialista dels Països Baixos, el líder del qual es diu Emile Roemer.
Mark Rutte és el líder dels Països Baixos, on la moneda és l'euro. Agnes Kant és una ciutadana del país i membre del Partit Socialista, liderat per Emile Roemer.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA22-CA-f6659116e219,QA2.2,ca,Catalan,SportsTeam,train/5triples/SportsTeam.xml::Id39::Id2,"Italy | leader | Pietro_Grasso
Italy | demonym | Italians
Italy | leader | Sergio_Mattarella
A.S._Gubbio_1910 | ground | Italy
Italy | language | Italian_language","Itàlia | Líder | Pietro_Grasso
Itàlia | Demònim | italians
Itàlia | Líder | Sergio_Mattarella
A.S._Gubbio_1910 | Terra | Itàlia
Itàlia | Llengua | Llengua_italiana","The ground of A.S. Gubbio 1910 is located in Italy, where Italians live and where the language spoken is Italian. Pietro Grasso and Sergio Mattarella are leaders in Italy.","El camp de l'A.S. Gubbio 1910 és a Itàlia, on viuen els italians i on es parla l'italià. Pietro Grasso i Sergio Mattarella són líders a Itàlia.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,Medium,One English-calibrated support direction fails.,"{""coverage_pass"": true, ""groundedness_pass"": false, ""minimum_text_groundedness"": 0.3216918110847473, ""minimum_triple_coverage"": 0.4453617334365845, ""target_text_literal_retention"": 1.0}"
QA31-ES-771ce7d542d9,QA3.1,es,Spanish,Company,train/3triples/Company.xml::Id75::Id3,"Trane | revenue | 10264000000
Trane | netIncome | 556300000
Trane | location | Swords,_Dublin","Trane | Ingresos | 10264000000
Trane | IngresosNetos | 556300000
Trane | Ubicación | Swords,_Dublín","Trane, which is located in Swords, Dublin, has a revenue of 10264000000 but a net income of $556,300,000.","Trane, con sede en Swords (Dublín), tiene unos ingresos de 10264000000 pero unos ingresos netos de 556.300.000 dólares.",Assess language identity and substantial English leakage; do not score general fluency or style here.,Low,The expected target language is confidently predicted and no hard flag is active.,"{""code_switch_detected"": false, ""full_english_copy_detected"": false, ""hard_language_flag"": false, ""predicted_language"": ""es"", ""target_language_probability"": 0.8317199349403381, ""valid_target_language"": true, ""wrong_language_detected"": false}"
QA32-CA-94c1eb52408c,QA3.2,ca,Catalan,City,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id833::Id1,Mexico | areaTotal | 1972550.0,Mèxic | TotalDeL'Àrea | 1972550.0,"The total area of Mexico is 1,972,550 square kilometers.",La superfície total de Mèxic és de 1.972.550 quilòmetres quadrats.,"Different English reference from the same RDF entry:
Mexico has a total area of 1972550.0.",Low,The target favours its aligned English reference and its length lies within the central language-specific range.,"{""aligned_reference_advantage"": 0.24404537677764893, ""aligned_reference_eligible"": true, ""aligned_reference_similarity"": 0.91791832447052, ""comparison_reference_similarity"": 0.6738729476928711, ""expansion_ratio"": 1.1111111111111112, ""extreme_advantage"": false, ""extreme_expansion"": false, ""unusual_expansion"": false}"
QA11-CA-e5b85077abd8,QA1.1,ca,Catalan,Artist,train/3triples/Artist.xml::Id138,"Alfredo_Zitarrosa | genre | Candombe
Alfredo_Zitarrosa | recordLabel | Orfeo_(Uruguayan_record_label)
Alfredo_Zitarrosa | background | ""solo_singer""","Alfredo_Zitarrosa | Gènere | candombe
Alfredo_Zitarrosa | EtiquetaDelRegistre | Orfeo_(empresa_discogràfica_uruguaiana)
Alfredo_Zitarrosa | Antecedents | cantant_en_solitari",Alfredo Zitarrosa started out as a solo singer and belongs to the Orfeo record label. The musical genre of Alfredo Zitarrosa is Candombe.,Alfredo Zitarrosa va començar com a cantant en solitari i pertany al segell discogràfic Orfeo. El gènere musical d'Alfredo Zitarrosa és el candombe.,"Expected triples: 3; English IDs: Id1
Id2
Id3; Target IDs: Id1
Id2
Id3; Target lexicalisations in entry: Alfredo Zitarrosa va començar com a cantant en solitari i pertany al segell discogràfic Orfeo. El gènere musical d'Alfredo Zitarrosa és el candombe.
Alfredo Zitarrosa, que va començar com a cantant en solitari, està amb el segell discogràfic Orfeo.El gènere musical d'Alfredo Zitarrosa és el candombe.
El gènere musical d'Alfredo Zitarrosa és el Candombe, va començar com a cantant en solitari i està signat amb el segell discogràfic uruguaià Orfeo.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA11-CA-86aff24bf2c8,QA1.1,ca,Catalan,MeanOfTransportation,train/1triples/MeanOfTransportation_allSolutions.xml::Id274,Plymouth_Plaza | manufacturer | Plymouth_(automobile),Plymouth_Plaza | Fabricant | Plymouth_(automòbil),The Plymouth Plaza was manufactured by Plymouth.,El Plymouth Plaza va ser fabricat per Plymouth.,"Expected triples: 1; English IDs: Id1
Id2; Target IDs: Id1
Id2; Target lexicalisations in entry: El Plymouth Plaza va ser fabricat per Plymouth.
Plymouth són els fabricants del Plymouth Plaza.",Low,All five structural conditions pass.,"{""lexicalisation_id_alignment"": true, ""lexicalisation_id_unique"": true, ""target_rdf_well_formed"": true, ""target_text_present"": true, ""target_triple_parity"": true}"
QA22-ES-632c62cb6208,QA2.2,es,Spanish,SportsTeam,dev/2triples/SportsTeam.xml::Id15::Id3,"AFC_Ajax_(amateurs) | ground | Amsterdam
Amsterdam | leader | Eberhard_van_der_Laan","AFC_Ajax_(aficionados) | Suelo | Ámsterdam
Ámsterdam | Líder | Eberhard_van_der_Laan",AFC Ajax is based in Amsterdam where Eberhard van der Laan is a leader.,"El AFC Ajax tiene su sede en Ámsterdam, donde dirige Eberhard van der Laan.",Judge the target text only against the target triples; the English pair is supplied as alignment context.,Low,Coverage and groundedness pass; no target literal failure is observed.,"{""coverage_pass"": true, ""groundedness_pass"": true, ""minimum_text_groundedness"": 0.5986708402633667, ""minimum_triple_coverage"": 0.5368243455886841, ""target_text_literal_retention"": null}"
QA22-ES-461840d184d1,QA2.2,es,Spanish,Film,test/rdf-to-text-generation-test-data-with-refs-en.xml::Id791::Id1,English_Without_Tears | editing | Alan_Jaggs,Amor_en_seis_lecciones | Edición | Alan_Jaggs,The editing of the movie English Without Tears was done by Alan Jaggs.,El montaje de la película English Without Tears corrió a cargo de Alan Jaggs.,Judge the target text only against the target triples; the English pair is supplied as alignment context.,High,both English-calibrated support directions fail.,"{""coverage_pass"": false, ""groundedness_pass"": false, ""minimum_text_groundedness"": 0.33727753162384033, ""minimum_triple_coverage"": 0.33727753162384033, ""target_text_literal_retention"": null}"
QA12-CA-cd85003149a5,QA1.2,ca,Catalan,predicate,operator,,,,,"Observed target forms and counts: {""operador"": 186}
Example mappings:
dev/1triples/Astronaut_allSolutions.xml::Id4: operator → Operador
dev/1triples/Astronaut_allSolutions.xml::Id5: operator → Operador
dev/2triples/Astronaut.xml::Id4: operator → Operador
dev/2triples/MeanOfTransportation.xml::Id3: operator → Operador",Low,One normalised target form is observed for the recurring source component.,"{""dominant_mapping_rate"": 1.0, ""mapping_review_signal"": false, ""occurrences"": 186, ""target_form_count"": 1}"
